,0,1,2
158,354,"Haggard, Henry Rider",62
159,355,"Haggard, H. Rider (Henry Rider)",62
160,1536,"Adams, William T. (William Taylor)",62
161,1537,"Adams, William Taylor",62
162,1538,"Optic, Oliver",62
163,162,"Houghton, Carolyn Wells",61
164,163,"Wells, Carolyn",61
165,1601,"Smith, George Oliver",61
166,1602,"Long, Wesley",61
167,1603,"Smith, George O. (George Oliver)",61
168,5085,"Dumas, Alexander",61
169,5086,"Dumas, Alexandre, pere",61
170,5087,"père, Alexandre Dumas",61
171,148,"Harte, Francis Bret",60
172,149,"Harte, Bret",60
173,2774,"Chesterton, Gilbert Keith",60
174,2775,"Chesterton, Gilbert K. (Gilbert Keith)",60
175,2776,"Chesterton, G. K. (Gilbert Keith)",60
176,3407,"Barbour, R. H. (Ralph Henry)",60
177,3408,"Barbour, Ralph Henry",60
178,4791,"Partridge, Anthony",60
179,4792,"Oppenheim, Edward Phillips",60
180,4793,"Oppenheim, E. Phillips (Edward Phillips)",60
181,6453,"Grant, James",60
182,358,"Sterling, Brett",59
183,1290,Mrs. (Mary Louisa) Molesworth,59
184,1291,"Molesworth, Mary Louisa Stewart",59
185,1292,"Graham, Ennis",59
186,1293,"Molesworth, Mrs.",59
187,178,"Carter, Nick",58
188,179,"Carter, Nicholas (House name)",58
189,356,"Sinjohn, John",58
190,357,"Galsworthy, John",58
191,415,"Warner, Charles Dudley",57
192,3019,"Ruskin, J. (John)",56
193,3020,"Ruskin, John",56
194,5195,Marianne,56
195,5196,Erodore,56
196,5197,"Abbott, Jacob",56
197,857,"Chaney, John Griffith",55
198,858,"London, Jack",55
199,4123,"Lorrequer, Harry",55
200,4124,"O'Dowd, Cornelius",55
201,4125,"Lever, Charles James",55
202,1058,"Cervantes, Miguel de",54
203,1059,"Saavedra, Miguel de Cervantes",54
204,1060,"De Cervantes Saavedra, Miguel",54
205,1061,"Cervantes, Michel",54
206,1062,"Saavedra, Miguel Cervantes",54
207,1063,"Cervantes Saavedra, Miguel de",54
208,1648,"Davidson, Marion",54
209,1649,"Garis, Howard R.",54
210,1650,"Garis, Howard Roger",54
211,10,"Zola, Émile Édouard Charles Antoine",53
212,11,"Zola, Emile",53
213,12,"Zola, Émile",53
214,242,"Mayne-Reid, Captain",53
215,243,"Reid, Thomas Mayne",53
216,244,"Reid, Mayne",53
217,510,"Patten, Gilbert",53
218,511,"Patten, William Gilbert",53
219,512,"Wilder, William West",53
220,513,"Wilder, William W. (William West)",53
221,514,"Patten, George William",53
