,0,1,2
159,1397,"Randolph, Geoffrey",76
160,1398,"Hawthorne, R. M.",76
161,1399,"LaSalle, Charles E.",76
162,1400,"Adams, J. F. C. (James Fenimore Cooper)",76
163,1401,"Adams, James Fenimore Cooper",76
164,1402,"Adams, Capt. 'Bruin'",76
165,1403,"Muller, Billex",76
166,1404,"Robins, Seelin",76
167,1405,"Belknap, Boynton H.",76
168,1406,"Belknap, B. H. (Boynton H.)",76
169,1407,"Rodman, Emerson",76
170,1408,"Hunter, Ned",76
171,1409,"Lasalle, Chas. E.",76
172,1411,"Ellis, Edward Sylvester",76
173,2490,"Korzeniowski, Joseph Conrad Theodore",75
174,2491,"Korzeniowski, Józef Konrad Teodor",75
175,2492,"Korzeniowski, Jozef Konrad Teodor",75
176,2493,"Conrad, Joseph",75
177,3036,Human Genome Project,73
178,942,"MacDonald, George",71
179,84,"Hope, Laura Lee",69
180,693,"Sue, Eugene",69
181,694,"Sue, Marie Joseph",69
182,695,"Sue, Marie Joseph Eugène",69
183,696,"Sue, Eugène",69
184,2309,"Titmarsh, Michael Angelo",69
185,2310,"Thackeray, W. M.",69
186,2311,"Titmarsh, M. A.",69
187,2312,"Thackeray, William Makepeace",69
188,1058,"Cervantes, Miguel de",68
189,1059,"Saavedra, Miguel de Cervantes",68
190,1060,"De Cervantes Saavedra, Miguel",68
191,1061,"Cervantes, Michel",68
192,1062,"Saavedra, Miguel Cervantes",68
193,1063,"Cervantes Saavedra, Miguel de",68
194,2014,"Wharton, Edith Newbold Jones",68
195,2015,"Olivieri, David",68
196,2016,"Wharton, Edith",68
197,176,Πλάτων,67
198,177,Plato,67
199,1477,"Yonge, Charlotte Mary",67
200,1478,"Yonge, C. M. (Charlotte Mary)",67
201,1479,"Yonge, Charlotte M. (Charlotte Mary)",67
202,1628,"Wilde, Oscar Fingal O'Flahertie Wills",67
203,1629,"Wilde, Oscar",67
204,406,"Hume, Ferguson Wright",66
205,407,"Hume, Fergus W. (Ferguson Wright)",66
206,408,"Hume, Fergus",66
207,1636,"Garrett, Gordon Randall",66
208,1637,"Garret, Randall",66
209,1638,"Garrett, Randall",66
210,3021,"Jenkins, Will",66
211,3022,"Jenkins, William Fitzgerald",66
212,3023,"Fitzgerald, William",66
213,3024,"Jenkins, Will F.",66
214,3025,"Leinster, Murray",66
215,242,"Mayne-Reid, Captain",65
216,243,"Reid, Thomas Mayne",65
217,244,"Reid, Mayne",65
218,2774,"Chesterton, Gilbert Keith",65
219,2775,"Chesterton, Gilbert K. (Gilbert Keith)",65
220,2776,"Chesterton, G. K. (Gilbert Keith)",65
221,2888,"Thibault, Jacques-Anatole-François",65
222,2889,"Thibault, Jacques-Anatole-Francois",65
223,2890,"Thibault, Anatole",65
224,2891,"France, Anatole",65
225,148,"Harte, Francis Bret",64
226,149,"Harte, Bret",64
227,292,"Hugo, Victor Marie, comte",64
228,294,"Hugo, Victor",64
229,293,"Hugo, Víctor",63
230,1071,"Alighieri, Dante",63
231,1072,Dante Alighieri,63
232,1977,"Baring-Gould, Sabine",63
233,1978,"Gould, Sabine Baring",63
234,1979,"Gould, S. Baring",63
235,1980,"Baring-Gould, S. (Sabine)",63
236,2113,"Smith, Elizabeth Thomasina Meade",63
237,2114,"Meade, Mrs. L. T.",63
238,2115,"Thomas, Elizabeth",63
239,2116,"Meade, Elizabeth Thomasina",63
240,2117,"Meade, Lillie",63
241,2118,"Mead, L. T.",63
242,2119,"Meade, L. T.",63
243,3019,"Ruskin, J. (John)",63
244,3020,"Ruskin, John",63
245,1536,"Adams, William T. (William Taylor)",62
246,1537,"Adams, William Taylor",62
247,1538,"Optic, Oliver",62
248,162,"Houghton, Carolyn Wells",61
249,163,"Wells, Carolyn",61
250,356,"Sinjohn, John",61
251,357,"Galsworthy, John",61
252,1601,"Smith, George Oliver",61
253,1602,"Long, Wesley",61
254,1603,"Smith, George O. (George Oliver)",61
255,1866,"Schiller, Johann Christoph Friedrich von",61
256,1867,"Schiller, Friedrich von",61
257,1873,"Schiller, Friedrich",61
258,2423,"Barnard, A. M.",61
259,2424,"Alcott, Louisa M. (Louisa May)",61
260,2425,"Alcott, L. M. (Louisa May)",61
261,2426,"Alcott, Louisa May",61
262,4791,"Partridge, Anthony",61
263,4792,"Oppenheim, Edward Phillips",61
264,4793,"Oppenheim, E. Phillips (Edward Phillips)",61
265,619,"Ibáñez, Vicente Blasco",60
266,620,"Blasco Ibanez, Vicente",60
267,621,"Blasco Ibáñez, Vicente",60
268,2366,"Strindberg, Johan August",60
269,2367,"Strindberg, August",60
270,3407,"Barbour, R. H. (Ralph Henry)",60
271,3408,"Barbour, Ralph Henry",60
272,6453,"Grant, James",60
273,358,"Sterling, Brett",59
274,1290,Mrs. (Mary Louisa) Molesworth,59
275,1291,"Molesworth, Mary Louisa Stewart",59
276,1292,"Graham, Ennis",59
277,1293,"Molesworth, Mrs.",59
278,134,"Townesend, Frances Eliza Hodgson Burnett",58
279,135,"Hodgson, Frances Eliza",58
280,136,"Burnett, Frances Hodgson",58
281,153,"Hardy, Thomas",58
282,178,"Carter, Nick",58
283,179,"Carter, Nicholas (House name)",58
284,415,"Warner, Charles Dudley",58
