author_name,book_id
"Nathan, George Jean",65739
"Nathan, George Jean",19426
"Graham, Stephen",48435
"Graham, Stephen",62229
"Oman, Charles William Chadwick",55586
"Oman, Charles",19631
"Elmendorf, Dwight",6820
"Elmendorf, Dwight",65908
"Elmendorf, Dwight L. (Dwight Lathrop)",8417
"Elmendorf, Dwight L. (Dwight Lathrop)",57061
"Freeman, E. A. (Edward Augustus)",25614
"Freeman, Edward Augustus",63366
"Freeman, Edward Augustus",21194
"Freeman, Edward A. (Edward Augustus)",62280
"Crayon, Christopher",49020
"Crayon, Christopher",69854
"Ritchie, J. Ewing (James Ewing)",9824
"Ritchie, J. Ewing (James Ewing)",47314
"Willis, N. P. (Nathaniel Parker)",16725
"Willis, N. Parker (Nathaniel Parker)",19137
"Willis, Nathaniel Parker",56432
"Eggleston, George Cary",26648
"Sims, G. R. (George Robert)",6640
"Sims, G. R. (George Robert)",49425
"Sims, George Robert",60474
"Murray, George Gilbert Aimé",49298
"Murray, George Gilbert Aimé",54359
"Murray, George Gilbert Aime",34239
"Murray, George Gilbert Aime",55573
"Murray, Gilbert",57765
"Monstrelet, Enguerran de",54751
"Monstrelet, Enguerran de",47034
"De Monstrelet, Enguerrand",36259
"De Monstrelet, Enguerrand",66870
"Howe, Mrs. Samuel Gridley",68492
"Howe, Mrs. Samuel Gridley",68945
"Ward, Julia",8825
"Seingalt, Giacomo Girolamo Casanova de",51102
"Seingalt, Jacques Casanova de",51591
"Casanova, Giacomo",65464
"Casanova, Giacomo",25333
"Casanova, Giacomo",54160
"Casanova, Giacomo",20501
"Dawson, Coningsby W. (Coningsby William)",30196
"Dawson, Coningsby William",44826
"Dawson, Coningsby William",62622
"Dawson, Coningsby William",10020
"Dawson, Coningsby William",52717
"Rolleston, Thomas William",69363
"Rolleston, Thomas William Hazen",29843
"Dyer, Thomas Firminger Thiselton",54051
"Dyer, Thomas Firminger Thiselton",34644
"Dyer, Thomas Firminger Thiselton",24112
"Dyer, Thomas Firminger Thiselton",13361
"Thiselton-Dyer, Thomas Firminger",27900
"Herbert, Henry William",13611
"Fortescue, John William, Sir",55091
"Fortescue, John William, Sir",61093
"Hume, Martin Andrew Sharp",39226
"Hume, Martin Andrew Sharp",54738
"Hume, Martin Andrew Sharp",38849
"Hume, Martin A. S. (Martin Andrew Sharp)",15318
"Gibbons, Herbert Adams",45393
"Lord, John",68498
"Lord, John",65628
"Lord, John",26876
"Lord, John",63679
"Lovecraft, Howard Phillips",28122
"Lovecraft, H. P. (Howard Phillips)",15806
"Fabre, Jean Henri Casimir",51375
"Fabre, Jean Henri Casimir",66563
"Fabre, Henri",38987
"Fabre, Henri",58920
"Fabre, J. Henri",9082
"Fabre, J. Henri",63389
"Fabre, Jean-Henri",47069
"Bailey, L. H. (Liberty Hyde)",42924
"Young, Stanley P.",64612
"Young, Stanley Paul",8085
"Young, Stanley Paul",69331
"Roosevelt, Robert Barnwell",65556
