,0,1,2
157,355,"Haggard, H. Rider (Henry Rider)",65
158,857,"Chaney, John Griffith",65
159,858,"London, Jack",65
160,2309,"Titmarsh, Michael Angelo",65
161,2310,"Thackeray, W. M.",65
162,2311,"Titmarsh, M. A.",65
163,2312,"Thackeray, William Makepeace",65
164,260,"John, Gabriel",64
165,2774,"Chesterton, Gilbert Keith",64
166,2775,"Chesterton, Gilbert K. (Gilbert Keith)",64
167,2776,"Chesterton, G. K. (Gilbert Keith)",64
168,5088,"Dumas, Alexandre",64
169,259,"Defo, Daniel",63
170,261,"Moreton, Andrew",63
171,262,"Defoë, Daniel",63
172,263,"Defoe, Daniel",63
173,1977,"Baring-Gould, Sabine",63
174,1978,"Gould, Sabine Baring",63
175,1979,"Gould, S. Baring",63
176,1980,"Baring-Gould, S. (Sabine)",63
177,2113,"Smith, Elizabeth Thomasina Meade",63
178,2114,"Meade, Mrs. L. T.",63
179,2115,"Thomas, Elizabeth",63
180,2116,"Meade, Elizabeth Thomasina",63
181,2117,"Meade, Lillie",63
182,2118,"Mead, L. T.",63
183,2119,"Meade, L. T.",63
184,1536,"Adams, William T. (William Taylor)",62
185,1537,"Adams, William Taylor",62
186,1538,"Optic, Oliver",62
187,2014,"Wharton, Edith Newbold Jones",62
188,2015,"Olivieri, David",62
189,2016,"Wharton, Edith",62
190,162,"Houghton, Carolyn Wells",61
191,163,"Wells, Carolyn",61
192,1601,"Smith, George Oliver",61
193,1602,"Long, Wesley",61
194,1603,"Smith, George O. (George Oliver)",61
195,5085,"Dumas, Alexander",61
196,5086,"Dumas, Alexandre, pere",61
197,5087,"père, Alexandre Dumas",61
198,148,"Harte, Francis Bret",60
199,149,"Harte, Bret",60
200,3407,"Barbour, R. H. (Ralph Henry)",60
201,3408,"Barbour, Ralph Henry",60
202,4791,"Partridge, Anthony",60
203,4792,"Oppenheim, Edward Phillips",60
204,4793,"Oppenheim, E. Phillips (Edward Phillips)",60
205,6453,"Grant, James",60
206,358,"Sterling, Brett",59
207,1290,Mrs. (Mary Louisa) Molesworth,59
208,1291,"Molesworth, Mary Louisa Stewart",59
209,1292,"Graham, Ennis",59
210,1293,"Molesworth, Mrs.",59
211,178,"Carter, Nick",58
212,179,"Carter, Nicholas (House name)",58
213,356,"Sinjohn, John",58
214,357,"Galsworthy, John",58
215,415,"Warner, Charles Dudley",58
216,5195,Marianne,58
217,5196,Erodore,58
218,5197,"Abbott, Jacob",58
219,153,"Hardy, Thomas",56
220,1058,"Cervantes, Miguel de",56
221,1059,"Saavedra, Miguel de Cervantes",56
222,1060,"De Cervantes Saavedra, Miguel",56
223,1061,"Cervantes, Michel",56
224,1062,"Saavedra, Miguel Cervantes",56
225,1063,"Cervantes Saavedra, Miguel de",56
226,3019,"Ruskin, J. (John)",56
227,3020,"Ruskin, John",56
228,4123,"Lorrequer, Harry",55
229,4124,"O'Dowd, Cornelius",55
230,4125,"Lever, Charles James",55
231,4484,"Bennett, Enoch Arnold",55
232,4485,"Bennett, E. Arnold",55
233,4486,"Bennett, Arnold",55
